scenario,bound,num_servers,h12,h21,L_1,L_2,L,W_1,W_2,W,U,Q_boundary,P_hit_boundary
A_prioritized_slower,16,1,0.0,0.0,0.6666597947160564,1.7178683387399523,2.3845281334560093,0.666663917886423,1.738658221645254,1.2026610697658384,2.8958994709044736,0.01896784185746635,0.002789514100691204
A_prioritized_slower,16,1,0.0,0.2,1.4732722447608704,1.6384511500295986,3.1117233947904728,0.9893088979043493,2.127223098411889,1.5582659981581193,4.91645364177995,0.016792512265446605,0.003185900314837738
A_prioritized_slower,16,1,0.0,0.4,2.036347398875834,1.257983612291077,3.2943310111669075,1.2145389595503335,2.097351718313024,1.6559453389316787,4.05872133407041,0.03703600475085649,0.006651742767448054
A_prioritized_slower,16,1,0.0,0.6000000000000001,2.3522762907112105,1.0110701099602468,3.3633464006714595,1.3409105162844854,2.0499356450915456,1.6954230806880155,3.6234963185698637,0.04938063703913103,0.008540427312418355
A_prioritized_slower,16,1,0.0,0.8,2.5517968487411506,0.8472421562230403,3.3990390049641888,1.4207187394964595,2.012756514786443,1.7167376271414512,3.3919644661248776,0.057373907668842226,0.009633495936859256
A_prioritized_slower,16,1,0.0,1.0,2.6892628995732033,0.7315956467010434,3.4208585462742476,1.4757051598292814,1.9846147047352156,1.7301599322822485,3.2544639017031014,0.06295713902475726,0.010318710145128862
A_prioritized_slower,16,1,0.0,1.2000000000000002,2.7899064467515067,0.6457324467628937,3.435638893514403,1.5159625787006026,1.9629336323526956,1.739448105526649,3.165576277174341,0.06708570329510662,0.010775270352197407
A_prioritized_slower,16,1,0.0,1.4000000000000001,2.8669116652603157,0.5794532730155659,3.4463649382758796,1.5467646661041252,1.9458268754276993,1.7462957707659124,3.104352647601261,0.07027065304973934,0.011093758402228603
A_prioritized_slower,16,1,0.0,1.6,2.927824306088607,0.5267167545340317,3.454541060622641,1.5711297224354428,1.932026541648113,1.7515781320417778,3.0600903704067743,0.07280817574992746,0.011323892546992814
A_prioritized_slower,16,1,0.0,1.8,2.977274766215666,0.4837316321271404,3.4610063983428017,1.5909099064862644,1.920677108127535,1.7557935073068998,3.026852126199557,0.0748815336783137,0.01149484504384916
A_prioritized_slower,16,1,0.0,2.0,3.018263717967701,0.44800210856748685,3.466265826535186,1.607305487187081,1.9111883427337535,1.7592469149604173,3.0011202568119333,0.07661024101149422,0.011624676212919738
A_prioritized_slower,16,1,0.0,2.2,3.052822558208677,0.41781891184420117,3.4706414700528803,1.6211290232834723,1.9031426316416746,1.7621358274625734,2.9806967621975833,0.07807563877531172,0.011725066046329244
A_prioritized_slower,16,1,0.0,2.4000000000000004,3.0823765456355448,0.39197216547444746,3.4743487111099927,1.6329506182542193,1.8962372704470745,1.7645939443506469,2.96414678627257,0.07933506926099199,0.011803845722943157
A_prioritized_slower,16,1,0.0,2.6,3.107955871377614,0.3695813052374443,3.4775371766150562,1.643182348551045,1.8902479673023451,1.766715157926695,2.950498781184744,0.08043016250173561,0.011866427131248029
A_prioritized_slower,16,1,0.0,2.8000000000000003,3.1303241385737173,0.3499900353484542,3.4803141739221717,1.652129655429486,1.8850052271338895,1.7685674412816876,2.9390742244741666,0.08139190344767963,0.011916647629399221
